provid,countyid,zupu,pczupu,anyzupu,avggrain,nograin,urban,dis_bj,dis_pc,migrants,rice,minority,edu,lnpop,year,mortality
13,5,1,0.042996328324079514,1,176.5823211669922,31.81304931640625,5,80.02620497567455,75.00105300331003,0,0,0,2.547560930252075,12.542545318603516,1954,17.09
13,5,1,0.042996328324079514,1,176.5823211669922,31.81304931640625,5,80.02620497567455,75.00105300331003,0,0,0,2.547560930252075,12.542545318603516,1955,17.13
13,5,1,0.042996328324079514,1,176.5823211669922,31.81304931640625,5,80.02620497567455,75.00105300331003,0,0,0,2.547560930252075,12.542545318603516,1956,17.09
13,5,1,0.042996328324079514,1,176.5823211669922,31.81304931640625,5,80.02620497567455,75.00105300331003,0,0,0,2.547560930252075,12.542545318603516,1957,17.02
13,5,1,0.042996328324079514,1,176.5823211669922,31.81304931640625,5,80.02620497567455,75.00105300331003,0,0,0,2.547560930252075,12.542545318603516,1958,16.94
13,5,1,0.042996328324079514,1,176.5823211669922,31.81304931640625,5,80.02620497567455,75.00105300331003,0,0,0,2.547560930252075,12.542545318603516,1959,17.08
13,5,1,0.042996328324079514,1,176.5823211669922,31.81304931640625,5,80.02620497567455,75.00105300331003,0,0,0,2.547560930252075,12.542545318603516,1960,17.01
13,5,1,0.042996328324079514,1,176.5823211669922,31.81304931640625,5,80.02620497567455,75.00105300331003,0,0,0,2.547560930252075,12.542545318603516,1961,10.42
13,5,1,0.042996328324079514,1,176.5823211669922,31.81304931640625,5,80.02620497567455,75.00105300331003,0,0,0,2.547560930252075,12.542545318603516,1962,6.88
13,5,1,0.042996328324079514,1,176.5823211669922,31.81304931640625,5,80.02620497567455,75.00105300331003,0,0,0,2.547560930252075,12.542545318603516,1963,7.43
13,5,1,0.042996328324079514,1,176.5823211669922,31.81304931640625,5,80.02620497567455,75.00105300331003,0,0,0,2.547560930252075,12.542545318603516,1964,8.89
13,5,1,0.042996328324079514,1,176.5823211669922,31.81304931640625,5,80.02620497567455,75.00105300331003,0,0,0,2.547560930252075,12.542545318603516,1965,7.23
13,5,1,0.042996328324079514,1,176.5823211669922,31.81304931640625,5,80.02620497567455,75.00105300331003,0,0,0,2.547560930252075,12.542545318603516,1966,7.34
13,8,0,0,0,311.4454345703125,28.468894958496094,4.09,173.268719274109,192.68839158399803,0,0,0,2.6304092407226562,12.43718433380127,1954,14.38
13,8,0,0,0,311.4454345703125,28.468894958496094,4.09,173.268719274109,192.68839158399803,0,0,0,2.6304092407226562,12.43718433380127,1955,10.24
13,8,0,0,0,311.4454345703125,28.468894958496094,4.09,173.268719274109,192.68839158399803,0,0,0,2.6304092407226562,12.43718433380127,1956,13.6
13,8,0,0,0,311.4454345703125,28.468894958496094,4.09,173.268719274109,192.68839158399803,0,0,0,2.6304092407226562,12.43718433380127,1957,10.96
13,8,0,0,0,311.4454345703125,28.468894958496094,4.09,173.268719274109,192.68839158399803,0,0,0,2.6304092407226562,12.43718433380127,1958,11.04
